yyyy-mm-dd,BS time,MPB time,ThetaBn (deg) (Cyril),beta_proton (Halekas),,beta_proton (Halekas),,,,Pdyn_proton,time,
2020-09-22,3:11:09,3:45:05,80,0.208
2020-09-24,22:24:48,21:48:32,12.8,0.331
2020-09-24,12:46:15,13:19:23,25.5,0.351
2020-09-24,16:37:15,16:59:54,27.4,0.349
2020-09-27,2:18:44,2:44:11,71.1,0.278
2020-09-29,8:15:39,8:51:06,77.7,0.858
2020-10-01,10:10:41,11:20:09,18.7,0.467
2020-10-01,2:17:46,1:41:28,22.5,0.565
2020-10-01,3:14:32,4:06:43,23.2,0.565
2020-10-02,11:30:55,12:34:34,21,0.628
2020-10-07,0:20:55,0:47:52,72.7,0.285
