,time,mod_B,Bx,By,Bz,r_sat
184,0.052361111111111115,2.4444093662887156,1.5655000000000001,-1.7427,0.6981,6165.8654504740425
185,0.052638888888888895,2.4425418092634565,1.5651,-1.7408,0.6972,6165.759559086609
186,0.05291666666666667,2.4441457178327153,1.569,-1.7405,0.6947999999999999,6165.652927337218
187,0.05319444444444444,2.4452563996440126,1.5666,-1.7433,0.6970999999999999,6165.546175136675
188,0.05347222222222223,2.44477222660926,1.5659999999999998,-1.7431999999999999,0.6969999999999998,6165.438682402362
189,0.05375,2.444472515697405,1.5686000000000002,-1.7406,0.6966,6165.33144226595
190,0.05402777777777778,2.4442690134271228,1.5724,-1.7386,0.6923,6165.224454735939
191,0.054305555555555565,2.4422947283241636,1.5761,-1.7337,0.6892,6165.1163538667515
192,0.05458333333333334,2.4433167477836353,1.5834000000000001,-1.7286,0.6889,6165.008505739319
193,0.05486111111111112,2.443878022733541,1.5849000000000002,-1.7273000000000003,0.6907000000000001,6164.900301480517
194,0.05513888888888889,2.443418744300698,1.587,-1.7253999999999998,0.6890000000000001,6164.791964575188
195,0.05541666666666666,2.4428420129021853,1.5873000000000002,-1.7258999999999998,0.685,6164.683508916343
196,0.05569444444444445,2.4423362278769067,1.5875,-1.7249999999999996,0.685,6164.5750684592695
197,0.05597222222222222,2.4412500015360985,1.5877000000000001,-1.7228,0.6862,6164.4657528497555
198,0.05625000000000001,2.4407377900954454,1.5876000000000001,-1.7231999999999998,0.6836,6164.356452277583
199,0.056527777777777774,2.439685051394954,1.5925,-1.7161,0.6862999999999999,6164.246647472864
200,0.05680555555555556,2.437150391338212,1.5955000000000001,-1.7097,0.6863000000000001,6164.137852384241
201,0.05708333333333333,2.4367487437156914,1.6001999999999998,-1.7038,0.6886,6164.02718771439
202,0.05736111111111111,2.436519010802091,1.5936,-1.7087999999999999,0.6907000000000001,6163.917294308618
203,0.057638888888888885,2.435474920831664,1.5933,-1.7086,0.6881999999999999,6163.807135256775
204,0.05791666666666667,2.4355103633530284,1.5925,-1.7102000000000002,0.6862,6163.6964721153945
205,0.058194444444444444,2.4347426434841117,1.5900999999999998,-1.7123,0.6838,6163.5859716828145
206,0.058472222222222224,2.434104962814874,1.588,-1.7138999999999998,0.6823999999999999,6163.474966997193
207,0.05875000000000001,2.4326304651549524,1.5897000000000003,-1.7114999999999998,0.6792,6163.36421505273
208,0.05902777777777778,2.431512765748928,1.5915000000000001,-1.7068,0.6828,6163.252350915678
209,0.059305555555555556,2.4288749782563945,1.5915000000000001,-1.703,0.6829000000000001,6163.140739657019
210,0.05958333333333334,2.428233911714438,1.5914000000000001,-1.7031,0.6805999999999999,6163.028624284043
211,0.059861111111111115,2.4272829274726093,1.5866999999999998,-1.7074,0.6774,6162.916911047434
212,0.060138888888888895,2.4269320447841136,1.5891,-1.7055,0.6753,6162.805301530201
213,0.06041666666666667,2.424247126429152,1.5855000000000001,-1.7072,0.6698000000000001,6162.692340032418
214,0.06069444444444445,2.423222030685591,1.5816,-1.7094,0.6697,6162.579264097216
215,0.060972222222222226,2.422738603316503,1.5788,-1.7091,0.6753,6162.466808295452
216,0.06125,2.421998191576534,1.5708000000000002,-1.7118,0.6844,6162.353997802993
217,0.06152777777777778,2.4220366595078615,1.571,-1.7093,0.6903,6162.2406831802655
218,0.06180555555555555,2.4218331858325834,1.5695,-1.7082000000000002,0.6957,6162.126257108315
219,0.06208333333333334,2.4215029279354585,1.5647,-1.7105,0.6997,6162.012841083448
220,0.06236111111111111,2.421264971043029,1.5622,-1.7131,0.6980999999999998,6161.898921068263
221,0.0626388888888889,2.4219890875063825,1.5582999999999998,-1.7183999999999997,0.6962999999999999,6161.785012646256
222,0.06291666666666668,2.4196458852485003,1.5514000000000001,-1.7179999999999997,0.7045,6161.670234470068
223,0.06319444444444444,2.4193434212612313,1.5449000000000002,-1.7216999999999998,0.7086999999999999,6161.555467725544
224,0.06347222222222222,2.4187830927968714,1.5404999999999998,-1.7244,0.7098,6161.440953869362
225,0.06375,2.417076229662606,1.5365,-1.7238,0.7141,6161.325935871777
226,0.06402777777777778,2.416439583353989,1.5320000000000003,-1.7245,0.7199,6161.210563957533
227,0.06430555555555556,2.416769120127117,1.5301,-1.7250999999999999,0.7236,6161.094688036446
228,0.06458333333333333,2.4170345239569913,1.5282,-1.7256,0.7273,6160.9798222022855
229,0.0648611111111111,2.4187264975602343,1.5225,-1.7319,0.7299,6160.863088697048
230,0.0651388888888889,2.4181795549545115,1.5174,-1.7331999999999999,0.7356,6160.747122624052
231,0.06541666666666666,2.416795411283297,1.5130999999999997,-1.7326,0.7413,6160.630895341748
232,0.06569444444444444,2.4145485499364057,1.5134999999999998,-1.7289,0.7418,6160.514678159714
233,0.06597222222222222,2.4143334898062445,1.515,-1.7278,0.7405999999999999,6160.396987321434
234,0.06625,2.4134089044337266,1.5153999999999999,-1.7237,0.7463,6160.279912864484
235,0.06652777777777778,2.4124050945063105,1.5193,-1.7172,0.7501000000000001,6160.163697708416
236,0.06680555555555555,2.4114892535526673,1.5189000000000001,-1.7135000000000002,0.7563999999999999,6160.045766041701
237,0.06708333333333333,2.4110199418503364,1.5191999999999999,-1.7116000000000002,0.7585999999999999,6159.927843714042
238,0.06736111111111112,2.410657113734759,1.5184,-1.7109999999999999,0.7604,6159.810418283929
239,0.06763888888888889,2.411140831639662,1.5169,-1.7127000000000001,0.7611,6159.691882991199
240,0.06791666666666667,2.412654490390201,1.5158,-1.7166,0.7593000000000001,6159.573962674705
241,0.06819444444444445,2.4113138431154084,1.5146000000000002,-1.7147999999999999,0.7615000000000001,6159.455689405622
242,0.06847222222222223,2.411167138545149,1.5161000000000002,-1.7126000000000001,0.763,6159.336550907079
243,0.06875,2.4090145869213826,1.5142000000000002,-1.71,0.7658,6159.218026895653
244,0.06902777777777777,2.4083435406934783,1.5190000000000001,-1.706,0.7630999999999999,6159.099150271311
245,0.06930555555555555,2.40713545526628,1.523,-1.7009,0.7627000000000002,6158.979524722981
246,0.06958333333333334,2.4059918619978746,1.524,-1.6978,0.764,6158.859791729572
247,0.06986111111111111,2.405913953157926,1.5225,-1.6988999999999999,0.7643,6158.740160495756
248,0.07013888888888889,2.4051610403463632,1.5199,-1.6988999999999999,0.7670999999999999,6158.619931557521
249,0.07041666666666666,2.403366480585098,1.5208,-1.6946,0.7692,6158.499595965115
250,0.07069444444444445,2.401022405143276,1.5213000000000003,-1.6872999999999998,0.7769000000000001,6158.379116287606
251,0.07097222222222223,2.4025467654137347,1.5204,-1.6906,0.7762,6158.25828444714
252,0.07125,2.400750236905122,1.52,-1.6879000000000002,0.7773,6158.137705822577
253,0.07152777777777777,2.4003958381900263,1.5156,-1.6919,0.7761,6158.016018210967
254,0.07180555555555557,2.399175514629974,1.5154999999999998,-1.6909,0.7746999999999999,6157.895189010456
255,0.07208333333333333,2.3988886593587457,1.5170000000000001,-1.6902000000000001,0.7724,6157.774008061464
256,0.07236111111111111,2.3990942999390414,1.5235999999999998,-1.6844999999999999,0.7725,6157.652076687267
257,0.07263888888888888,2.398914058485631,1.5253,-1.6816000000000002,0.7748999999999999,6157.530040384812
258,0.07291666666666667,2.3989720486074866,1.5294999999999999,-1.6792000000000002,0.772,6157.408010601181
259,0.07319444444444445,2.398307073750148,1.5333,-1.6732999999999998,0.7752,6157.285724091957
260,0.07347222222222222,2.398437403811073,1.5370999999999997,-1.6706,0.7739,6157.1634438175315
261,0.07375,2.397769073534814,1.5361000000000002,-1.6694,0.7764,6157.04005506969
262,0.07402777777777778,2.3979825061914024,1.5391,-1.6675,0.7752,6156.916919701025
263,0.07430555555555556,2.3987295679171505,1.5376999999999998,-1.6719,0.7707999999999999,6156.793789969854
264,0.07458333333333333,2.399375931362153,1.5407,-1.6714000000000002,0.7679,6156.669799705272
265,0.07486111111111111,2.400405988577766,1.5461,-1.6689,0.7657,6156.546062973141
266,0.07513888888888888,2.3981784816814615,1.5476999999999999,-1.6643000000000001,0.7655,6156.422331581691
267,0.07541666666666666,2.3965053119073194,1.5508999999999997,-1.6576999999999997,0.7681,6156.298853442335
268,0.07569444444444445,2.3953783020642065,1.5486000000000002,-1.6591,0.7661999999999999,6156.173758660307
269,0.07597222222222222,2.394507671735466,1.5485,-1.6565,0.7693000000000001,6156.049426041698
270,0.07625,2.39315463144361,1.5515,-1.6528,0.767,6155.924589705426
271,0.07652777777777778,2.391300746455786,1.5533,-1.6466,0.7708999999999999,6155.799153856049
272,0.07680555555555556,2.388974995683295,1.5574000000000001,-1.6391,0.7714,6155.674824269014
273,0.07708333333333334,2.3894395953863325,1.5602,-1.6365,0.7727,6155.549387139963
274,0.0773611111111111,2.3883771268373843,1.5616999999999999,-1.6329,0.774,6155.423350392972
275,0.07763888888888888,2.3874178352353823,1.5646,-1.6269999999999998,0.7776,6155.297663191504
276,0.07791666666666668,2.3869599305392626,1.5619,-1.6283,0.7789,6155.172133348426
277,0.07819444444444444,2.3880389171870715,1.5597,-1.6337000000000002,0.7753,6155.044739071476
278,0.07847222222222222,2.3874040232017704,1.5568,-1.6353,0.7757999999999999,6154.918959014216
279,0.07875,2.38528581725545,1.5491,-1.6389000000000002,0.7771000000000001,6154.792071798463
280,0.07902777777777778,2.383731278898693,1.5442999999999998,-1.6396000000000002,0.7804000000000001,6154.665438159693
281,0.07930555555555556,2.3821642806490066,1.5398999999999998,-1.6396000000000002,0.7843000000000001,6154.5383009699835
282,0.07958333333333333,2.3820440424139937,1.5359,-1.6425999999999998,0.7855,6154.410563499745
283,0.0798611111111111,2.3820447246011147,1.5345,-1.6441,0.7850999999999999,6154.283330213706
284,0.08013888888888887,2.380833799323254,1.5322,-1.6443,0.7855,6154.155342627058
285,0.08041666666666666,2.3790031883122813,1.5245,-1.6454000000000002,0.7925999999999999,6154.027005408849
286,0.08069444444444444,2.3742127684771646,1.5139000000000002,-1.6459000000000001,0.7975,6153.898767653482
287,0.08097222222222221,2.3676001583882362,1.5017000000000003,-1.6459000000000001,0.8009000000000001,6153.770937557312
288,0.08125,2.361349393884776,1.485,-1.6485999999999998,0.8080000000000002,6153.642001033517
289,0.08152777777777778,2.354920130280431,1.4687000000000001,-1.6512,0.8137000000000001,6153.513163933916
290,0.08180555555555555,2.3492108802744807,1.4526,-1.6526000000000003,0.8231999999999999,6153.383725895228
291,0.08208333333333333,2.3434775975033344,1.4364,-1.6527,0.835,6153.254190572552
292,0.08236111111111111,2.336587584491538,1.4172,-1.6551000000000002,0.8436999999999999,6153.124502534458
293,0.08263888888888889,2.329402964280762,1.4018000000000002,-1.6526999999999998,0.8541999999999998,6152.995474809983
294,0.08291666666666667,2.322346289854293,1.3842,-1.6523,0.8644,6152.8649343020825
295,0.08319444444444443,2.313576216596289,1.3673,-1.6479000000000001,0.8761,6152.735404575806
296,0.08347222222222221,2.306306323973466,1.3519000000000003,-1.6470000000000002,0.8825,6152.604768957843
297,0.08375,2.2994186852332916,1.3353,-1.6472,0.8894,6152.473629962567
298,0.08402777777777777,2.2910086708696675,1.3174,-1.6449,0.8986,6152.343248907939
299,0.08430555555555555,2.283476185555698,1.2972,-1.6446,0.9093000000000001,6152.212617346269
300,0.08458333333333332,2.2777888159353137,1.2813999999999999,-1.6426999999999998,0.9208,6152.080627010862
301,0.08486111111111111,2.270680536755446,1.2621,-1.6412,0.9325,6151.948890319594
302,0.08513888888888889,2.2628984488924817,1.2473,-1.6357,0.9431,6151.817660883846
303,0.08541666666666665,2.2570347649072664,1.2306,-1.6334,0.9549000000000001,6151.685829732329
304,0.08569444444444445,2.2524085686215987,1.2155999999999998,-1.6316,0.9662000000000001,6151.553495224258
305,0.08597222222222221,2.248105455711542,1.2022,-1.6297000000000004,0.9761,6151.4214145291535
306,0.08624999999999998,2.244591005060833,1.1918,-1.6255000000000002,0.9877000000000001,6151.28857629499
307,0.08652777777777777,2.2406668427055374,1.1773,-1.6235000000000002,0.9994,6151.155644271048
308,0.08680555555555555,2.235939449090695,1.1611,-1.6224,1.0094999999999998,6151.022711718368
309,0.08708333333333335,2.2328508436525714,1.1462999999999999,-1.6216,1.0208,6150.890287498516
310,0.08736111111111111,2.229077042185846,1.1331,-1.6177000000000001,1.0334,6150.755746661722
311,0.08763888888888889,2.224743666133247,1.1195,-1.6142,1.0443,6150.622216819918
312,0.08791666666666666,2.2202171380295215,1.1047,-1.6114,1.0547,6150.488940819796
313,0.08819444444444445,2.216024469630243,1.0900999999999998,-1.608,1.0661999999999998,6150.354404339147
314,0.08847222222222222,2.2112350870045456,1.0776000000000001,-1.6037000000000001,1.0754,6150.220277663177
